-0.000000	-0.065000
0.002390	-0.060614
0.003186	-0.057281
0.005576	-0.053772
0.007169	-0.052018
0.011152	-0.049912
0.013542	-0.048333
0.017525	-0.046754
0.020711	-0.044825
0.026287	-0.042368
0.030270	-0.040263
0.035846	-0.037982
0.039032	-0.035702
0.042218	-0.032719
0.045404	-0.029737
0.046998	-0.025877
0.049387	-0.016404
0.051777	-0.008860
0.052574	-0.001842
0.053370	0.008509
0.054167	-0.003421
0.056556	-0.027456
0.057353	-0.037105
0.058946	-0.045175
0.059743	-0.048860
0.060539	-0.051842
0.061336	-0.054298
0.066115	-0.055351
0.074877	-0.053421
0.079657	-0.052193
0.082843	-0.050614
0.086826	-0.049211
0.091605	-0.047632
0.096385	-0.046404
0.100368	-0.045175
0.105147	-0.043947
0.111520	-0.042368
0.116299	-0.040789
0.121875	-0.039211
0.127451	-0.037632
0.133027	-0.036053
0.138603	-0.034298
0.141789	-0.032544
0.144179	-0.030965
0.147365	-0.028860
0.149755	-0.026404
0.150551	-0.023947
0.151348	-0.021842
0.152145	-0.019211
0.152941	-0.016579
0.153738	-0.013596
0.154534	-0.010263
0.155331	-0.003772
0.156924	0.006053
0.158517	-0.004649
0.160110	-0.017807
0.161703	-0.026053
0.163297	-0.034298
0.164093	-0.039912
0.164890	-0.044123
0.165686	-0.047281
0.166483	-0.050088
0.168076	-0.051491
0.169669	-0.052368
0.174449	-0.051491
0.179228	-0.050439
0.183211	-0.049035
0.187990	-0.047982
0.192770	-0.046404
0.196752	-0.044825
0.200735	-0.043772
0.205515	-0.042544
0.210294	-0.041491
0.214277	-0.039912
0.220650	-0.038509
0.226225	-0.037281
0.232598	-0.035877
0.238174	-0.034474
0.242157	-0.033070
0.246936	-0.031491
0.250919	-0.029386
0.254105	-0.027632
0.257292	-0.025000
0.259681	-0.022719
0.260478	-0.020263
0.261275	-0.018158
0.262071	-0.015877
0.262868	-0.013947
0.263664	-0.010965
0.264461	-0.006404
0.266851	-0.000088
0.269240	-0.005526
0.270833	-0.018509
0.273223	-0.029211
0.274816	-0.038158
0.275613	-0.042193
0.276409	-0.044649
0.277206	-0.047281
0.278799	-0.048509
0.282782	-0.049211
0.288358	-0.047982
0.291544	-0.046930
0.296324	-0.045702
0.301900	-0.044825
0.305882	-0.043772
0.310662	-0.042368
0.314645	-0.041316
0.318627	-0.040439
0.325000	-0.039386
